section_id,status,similarity,v1_snippet,v2_snippet,change_type
1,Unchanged,0.991,"GOOGLE PRIVACY POLICY When you use our services, you’re trusting us with your information. We understand this is a big r","GOOGLE PRIVACY POLICY When you use our services, you’re trusting us with your information. We understand this is a big r",forward
2,Unchanged,0.972,"Effective July 1, 2025 | Archived versions We build a range of services that help millions of people daily to explore an","Effective September 16, 2024 | Archived versions We build a range of services that help millions of people daily to expl",forward
3,Unchanged,1.0,"embedded Google Maps You can use our services in a variety of ways to manage your privacy. For example, you can sign up ","embedded Google Maps You can use our services in a variety of ways to manage your privacy. For example, you can sign up ",forward
4,Unchanged,1.0,"and photos, or see more relevant search results. And you can use many Google services when you’re signed out or without ","and photos, or see more relevant search results. And you can use many Google services when you’re signed out or without ",forward
5,Unchanged,1.0,"To help explain things as clearly as possible, we’ve added examples, explanatory videos, and definitions for key terms. ","To help explain things as clearly as possible, we’ve added examples, explanatory videos, and definitions for key terms. ",forward
6,Unchanged,1.0,"find most useful, the people who matter most to you online, or which YouTube videos you might like. The information Goog","find most useful, the people who matter most to you online, or which YouTube videos you might like. The information Goog",forward
7,Unchanged,1.0,"to do things like maintain your preferences across browsing sessions, such as your preferred language or whether to show","to do things like maintain your preferences across browsing sessions, such as your preferred language or whether to show",forward
8,Unchanged,1.0,"When you create a Google Account, you provide us with personal information that includes your name and a password. You c","When you create a Google Account, you provide us with personal information that includes your name and a password. You c",forward
9,Unchanged,1.0,"services. This includes things like email you write and receive, photos and videos you save, docs and spreadsheets you c","services. This includes things like email you write and receive, photos and videos you save, docs and spreadsheets you c",forward
10,Unchanged,1.0,"your screen if your battery runs low. The information we collect includes unique identifiers, browser type and settings,","your screen if your battery runs low. The information we collect includes unique identifiers, browser type and settings,",forward
11,Unchanged,1.0,"request. We collect this information when a Google service on your device contacts our servers — for example, when you i","request. We collect this information when a Google service on your device contacts our servers — for example, when you i",forward
12,Unchanged,1.0,"carrier name, crash reports, which apps you've installed, and, depending on your device settings, other information abou","carrier name, crash reports, which apps you've installed, and, depending on your device settings, other information abou",forward
13,Unchanged,1.0,include: Terms you search for Videos you watch Views and interactions with content and ads Voice and audio information P,include: Terms you search for Videos you watch Views and interactions with content and ads Voice and audio information P,forward
14,Unchanged,1.0,"receiving-party number, forwarding numbers, sender and recipient email address, time and date of calls and messages, dur","receiving-party number, forwarding numbers, sender and recipient email address, time and date of calls and messages, dur",forward
15,Unchanged,1.0,"like driving directions, search results for things near you, and ads based on your location. Depending on the products y","like driving directions, search results for things near you, and ads based on your location. Depending on the products y",forward
16,Unchanged,0.965,"IP address Activity on Google services, such as from your searches or places you label like home or work Information abo","IP address Activity on Google services, such as from your searches or places you label like home or work Information abo",forward
17,Unchanged,0.966,"a private map of where you go with your signed-in devices. And if your Web & App Activity setting is enabled, your searc","to create a private map of where you go with your signed-in devices. And if your Web & App Activity setting is enabled, ",forward
18,Unchanged,1.0,Search engine may index that article and display it to other people if they search for your name. We may also collect in,Search engine may index that article and display it to other people if they search for your name. We may also collect in,forward
19,Unchanged,1.0,protect against abuse. We also receive information from partners to provide advertising and research services on their b,protect against abuse. We also receive information from partners to provide advertising and research services on their b,forward
20,Unchanged,1.0,We use the information we collect from all our services for the following purposes: Provide our services We use your inf,We use the information we collect from all our services for the following purposes: Provide our services We use your inf,forward
21,Unchanged,1.0,"information to make improvements to our services — for example, understanding which search terms are most frequently mis","information to make improvements to our services — for example, understanding which search terms are most frequently mis",forward
22,Unchanged,1.0,"We use the information we collect to customize our services for you, including providing recommendations, personalized c","We use the information we collect to customize our services for you, including providing recommendations, personalized c",forward
23,Modified,0.802,"like. Depending on your settings, we may also show you personalized ads based on your interests and activity across Goog","like. Depending on your settings, we may also show you personalized ads based on your interests and activity across Goog",No Significant Change
24,Removed or New,0.591,"bikes,” you may see ads for sports equipment on YouTube. You can control what information we use to show you ads by visi","like. Depending on your settings, we may also show you personalized ads based on your interests and activity across Goog",Clarified Scope
25,Removed or New,0.444,"your name or email, unless you ask us to. For example, if you see an ad for a nearby flower shop and select the “tap to ",your phone number with the flower shop. Go to My Ad Center Measure performance We use data for analytics and measurement,Clarified Scope
26,Modified,0.753,"product design. And we also use data about the ads you interact with, including your related Google Search activity, to ","ad campaigns. We use a variety of tools to do this, including Google Analytics. When you visit sites or use apps that us",forward
27,Removed or New,0.458,"Communicate with you We use information we collect, like your email address, to interact with you directly. For example,","example, we may send you a notification if we detect suspicious activity, like an attempt to sign in to your Google Acco",forward
28,Removed or New,0.444,"Protect Google, our users, and the public","Protect against harm to the rights, property or safety of Google, our users, or the public. We may share non-personally ",forward
29,Unchanged,1.0,"We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and ","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and ",forward
30,Unchanged,1.0,"And we analyze your content to help us detect abuse such as spam, malware, and illegal content. We also use algorithms t","And we analyze your content to help us detect abuse such as spam, malware, and illegal content. We also use algorithms t",forward
31,Unchanged,1.0,"watch videos of guitar players on YouTube, you might see an ad for guitar lessons on a site that uses our ad products. D","watch videos of guitar players on YouTube, you might see an ad for guitar lessons on a site that uses our ad products. D",forward
32,Unchanged,1.0,"photo. This helps people identify an email coming from you, for example. We’ll ask for your consent before using your in","photo. This helps people identify an email coming from you, for example. We’ll ask for your consent before using your in",forward
33,Unchanged,1.0,This section describes key controls for managing your privacy across our services. You can also visit the Privacy Checku,This section describes key controls for managing your privacy across our services. You can also visit the Privacy Checku,forward
34,Unchanged,1.0,"services you use. For example, Photos and Drive are both designed to help you manage specific types of content you’ve sa","services you use. For example, Photos and Drive are both designed to help you manage specific types of content you’ve sa",forward
35,Unchanged,1.0,you search for are saved in your account so you can get better recommendations and remember where you left off. And if y,you search for are saved in your account so you can get better recommendations and remember where you left off. And if y,forward
36,Unchanged,1.0,"devices that use Google services, such as apps you install and use on Android, is saved in your Google Account and used ","devices that use Google services, such as apps you install and use on Android, is saved in your Google Account and used ",forward
37,Unchanged,1.0,Ad settings Manage your preferences about the ads shown to you on Google and on sites and apps that partner with Google ,Ad settings Manage your preferences about the ads shown to you on Google and on sites and apps that partner with Google ,forward
38,Unchanged,1.0,"Go to About You Shared endorsements Choose whether your name and photo appear next to your activity, like reviews and re","Go to About You Shared endorsements Choose whether your name and photo appear next to your activity, like reviews and re",forward
39,Unchanged,1.0,services Ways to review & update your information My Activity My Activity allows you to review and control data that’s s,services Ways to review & update your information My Activity My Activity allows you to review and control data that’s s,forward
40,Unchanged,1.0,Google Dashboard Google Dashboard allows you to manage information associated with specific products. Go to Dashboard Yo,Google Dashboard Google Dashboard allows you to manage information associated with specific products. Go to Dashboard Yo,forward
41,Unchanged,1.0,YouTube settings: Pause and delete your YouTube Search History and your YouTube Watch History. Ad Settings: Manage your ,YouTube settings: Pause and delete your YouTube Search History and your YouTube Watch History. Ad Settings: Manage your ,forward
42,Unchanged,1.0,"To delete your information, you can: Delete your content from specific Google services","To delete your information, you can: Delete your content from specific Google services",forward
43,Unchanged,1.0,"Search for and then delete specific items from your account using My Activity Delete specific Google products, including","Search for and then delete specific items from your account using My Activity Delete specific Google products, including",forward
44,Unchanged,1.0,on applicable law and our policies. There are other ways to control the information Google collects whether or not you’r,on applicable law and our policies. There are other ways to control the information Google collects whether or not you’r,forward
45,Unchanged,1.0,language preferences. Device-level settings: Your device may have controls that determine what information we collect. F,language preferences. Device-level settings: Your device may have controls that determine what information we collect. F,forward
46,Unchanged,1.0,"Many of our services let you share information with other people, and you have control over how you share. For example, ","Many of our services let you share information with other people, and you have control over how you share. For example, ",forward
47,Unchanged,1.0,"a YouTube video or reviewing an app in Play, your name and photo appear next to your activity. We may also display this ","a YouTube video or reviewing an app in Play, your name and photo appear next to your activity. We may also display this ",forward
48,Unchanged,1.0,"example, if you use Google Home to make a reservation through a booking service, we’ll get your permission before sharin","example, if you use Google Home to make a reservation through a booking service, we’ll get your permission before sharin",forward
49,Unchanged,1.0,administrator and resellers who manage your account will have access to your Google Account. They may be able to: Access,administrator and resellers who manage your account will have access to your Google Account. They may be able to: Access,forward
50,Unchanged,1.0,"Receive your account information in order to satisfy applicable law, regulation, legal process, or enforceable governmen","Receive your account information in order to satisfy applicable law, regulation, legal process, or enforceable governmen",forward
51,Unchanged,1.0,"example, we use service providers to help operate our data centers, deliver our products and services, improve our inter","example, we use service providers to help operate our data centers, deliver our products and services, improve our inter",forward
52,Unchanged,1.0,"disclosure of the information is reasonably necessary to: Respond to any applicable law, regulation,legal process, or en","disclosure of the information is reasonably necessary to: Respond to any applicable law, regulation,legal process, or en",forward
53,Unchanged,1.0,"Protect against harm to the rights, property or safety of Google, our users, or the public. We may share non-personally ","Protect against harm to the rights, property or safety of Google, our users, or the public. We may share non-personally ",forward
54,Unchanged,1.0,"measurement purposes using their own cookies or similar technologies. If Google is involved in a merger, acquisition, or","measurement purposes using their own cookies or similar technologies. If Google is involved in a merger, acquisition, or",forward
55,Unchanged,1.0,personal information is transferred or becomes subject to a different privacy policy. KEEPING YOUR INFORMATION SECURE We,personal information is transferred or becomes subject to a different privacy policy. KEEPING YOUR INFORMATION SECURE We,forward
56,Unchanged,1.0,"something risky that we think you should know about, we’ll notify you and help guide you through steps to stay better pr","something risky that we think you should know about, we’ll notify you and help guide you through steps to stay better pr",forward
